"订单编号","PID","交易时间","单项数量","单项金额","商品编号","商品名称","一级分类","二级分类","三级分类","门店名称","品牌"
1371352,"af90ad92-442c-11e8-afda-0a58ac130519",2019-05-01 00:01:32,1,1,"10603552","顺成打火机","烟类","烟具","烟具","A","顺成"
1371656,"dd459894-713e-11e8-9928-0a58ac130598",2019-05-01 00:18:32,1,21,"10000012","N七匹狼（软灰）","烟类","香烟","软盒香烟","B","七匹狼"
1371656,"dd459894-713e-11e8-9928-0a58ac130598",2019-05-01 00:18:32,1,19.9,"32000179","金鹿无味电热蚊香液（1+1）套装","家用清洁","消杀用品","灭蚊、杀虫、防蛀用品","B","金鹿"
1371656,"dd459894-713e-11e8-9928-0a58ac130598",2019-05-01 00:18:32,1,9.9,"60603158","冷酸灵柔丝双效牙刷双支促销装","个人清洁","口腔用品","牙刷","B","冷酸灵"
1371656,"dd459894-713e-11e8-9928-0a58ac130598",2019-05-01 00:18:32,1,5,"11000256","农夫东方树叶茉莉花茶500ml","饮料","茶饮料","即饮茉莉花茶","B","东方树叶"
1371656,"dd459894-713e-11e8-9928-0a58ac130598",2019-05-01 00:18:32,2,8,"11000299","王老吉凉茶310ml","饮料","亚洲传统饮料","中草药饮料","B","王老吉"
1371656,"dd459894-713e-11e8-9928-0a58ac130598",2019-05-01 00:18:32,1,9.9,"12000206","乐事无限鲜浓番茄味104g","休闲零食","膨化食品","膨化食品","B","乐事无限"
1371656,"dd459894-713e-11e8-9928-0a58ac130598",2019-05-01 00:18:32,1,4.5,"12000022","上好佳鲜虾片40g","休闲零食","膨化食品","膨化食品","B","上好佳"
1371656,"dd459894-713e-11e8-9928-0a58ac130598",2019-05-01 00:18:32,1,4.8,"17122913","贤哥辣么小小脆58g","休闲零食","肉食小食","肉食小食","B","贤哥"
1371846,"60c505a5-90db-11e8-bfae-0a58ac1305b1",2019-05-01 00:30:11,1,4.5,"11000253","康师傅绿茶1L","饮料","茶饮料","即饮绿茶","C","康师傅"
1371846,"60c505a5-90db-11e8-bfae-0a58ac1305b1",2019-05-01 00:30:11,2,9,"11000411","达能脉动水蜜桃味600ml","饮料","功能性饮料","运动能量饮料","C","脉动"
1371846,"60c505a5-90db-11e8-bfae-0a58ac1305b1",2019-05-01 00:30:11,1,4.5,"11000065","达能脉动清新柠檬600ml","饮料","功能性饮料","运动能量饮料","C","脉动"
1371916,"871cefc3-46dc-11e8-bef0-0a58ac13033c",2019-05-01 00:33:58,1,13.5,"11000168","N椰树椰子汁1L","饮料","果蔬汁","常温果汁","C","椰树"
1372091,"6c7d566e-807a-11e8-ae3c-0a58ac1303f0",2019-05-01 00:44:35,2,7,"11000291","T长富精品纯牛奶250ml","奶制品","牛奶","常温牛奶","B","长富"
1372091,"6c7d566e-807a-11e8-ae3c-0a58ac1303f0",2019-05-01 00:44:35,1,3,"13000268","双汇肉花肠90g","辅助佐餐","熟食肉制品","熟食肉制品","B","双汇"
1372091,"6c7d566e-807a-11e8-ae3c-0a58ac1303f0",2019-05-01 00:44:35,2,25.8,"18000122","乡下香鸡腿香酥味85g","休闲零食","肉食小食","肉食小食","B","乡下香"
1372107,"b7a46e31-1241-4575-9789-bd4cf46816a0",2019-05-01 00:46:01,1,19,"10000031","N黄鹤楼（软蓝）","烟类","香烟","软盒香烟","B","黄鹤楼"
1372115,"246c409f-074f-4739-86cf-6e6970f5ff8b",2019-05-01 00:46:37,1,4,"11000747","T青岛崂山啤酒500ml","酒类","啤酒","啤酒","B","青岛啤酒"
1372115,"246c409f-074f-4739-86cf-6e6970f5ff8b",2019-05-01 00:46:37,1,16,"10000014","N七匹狼（软红）","烟类","香烟","软盒香烟","B","七匹狼"
1372200,"206028ad-43fc-11e8-afd5-0a58ac130519",2019-05-01 00:53:03,1,11.9,"12604002","抱抱堂罐装爆米花焦糖味100g","休闲零食","膨化食品","膨化食品","C","抱抱堂"
1372762,"a65914bf-929e-11e8-816a-0a58ac1305b1",2019-05-01 01:36:52,1,4.5,"11000411","达能脉动水蜜桃味600ml","饮料","功能性饮料","运动能量饮料","B","脉动"
1372820,"360b514c-5026-11e8-83b1-0a58ac130356",2019-05-01 01:41:01,1,7,"60603315","蒙牛优益C百香果味340g","奶制品","酸奶/酸味奶","酸奶/酸味奶","B","优益C"
1372820,"360b514c-5026-11e8-83b1-0a58ac130356",2019-05-01 01:41:01,1,5,"11000412","农夫东方树叶绿茶原味茶饮料500ml","饮料","茶饮料","即饮绿茶","B","东方树叶"
1372820,"360b514c-5026-11e8-83b1-0a58ac130356",2019-05-01 01:41:01,1,1.5,"93895468","AN见福茶叶蛋","方便速食","鲜食","茶叶蛋","B","见福"
1373058,"f7388d91-fe0f-4b09-8480-2642404f2310",2019-05-01 02:02:17,1,4.5,"12604187","脉动仙人掌青橘口味600ml","饮料","功能性饮料","运动能量饮料","B","脉动"
1373148,"f3ee9478-e5ce-48fb-9c5c-b05daf7b990c",2019-05-01 02:10:14,2,17,"11000137","达利园和其正1.5L","饮料","亚洲传统饮料","中草药饮料","C","和其正"
1373148,"f3ee9478-e5ce-48fb-9c5c-b05daf7b990c",2019-05-01 02:10:14,1,14.5,"11000365","爱之味麦仔茶1.5L","饮料","茶饮料","其他茶饮料","C","爱之味"
1373148,"f3ee9478-e5ce-48fb-9c5c-b05daf7b990c",2019-05-01 02:10:14,1,7,"11000024","N可口可乐美汁源果粒橙1.25L","饮料","果蔬汁","常温果汁","C","美汁源"
1373330,"ef45916f-6f2a-11e8-9845-0a58ac130598",2019-05-01 02:26:59,1,6,"12604115","魔爪维生素能量饮料330ml","饮料","功能性饮料","健康保健饮料","B","魔爪"
1373425,"f4aaa4be-3c4d-4729-b292-e122df3bad9c",2019-05-01 02:36:17,2,44,"99001154","N苏烟（五星红衫树）","烟类","香烟","硬盒香烟","A","苏烟"
1373425,"f4aaa4be-3c4d-4729-b292-e122df3bad9c",2019-05-01 02:36:17,1,14.5,"11000365","爱之味麦仔茶1.5L","饮料","茶饮料","其他茶饮料","A","爱之味"
1373484,"ebebd1eb-d249-4822-88c7-537cf08f8495",2019-05-01 02:42:28,2,2,"61000315","维达V0036蓝色经典超韧自然无香迷你手帕纸4层8张","家用清洁","纸制品","手帕纸","C","维达"
1373621,"b49f6fa9-7fca-11e8-87b0-0a58ac130661",2019-05-01 03:00:49,1,8.5,"10000008","N七匹狼（蓝)","烟类","香烟","硬盒香烟","A","七匹狼"
1373708,"b727030f-27bd-413e-9acf-76dc92fd58ee",2019-05-01 03:11:33,1,15,"10000010","N七匹狼(红)","烟类","香烟","硬盒香烟","C","七匹狼"
1373708,"b727030f-27bd-413e-9acf-76dc92fd58ee",2019-05-01 03:11:33,2,6,"11000085","景田百岁山矿泉水570ml","饮料","包装水","包装水","C","景田"
1373733,"fb20ed65-c800-4e8d-93cb-94945d2d7cd8",2019-05-01 03:16:41,1,3,"11000017","惠尔康葡萄糖饮料518ml","饮料","功能性饮料","健康保健饮料","C","惠尔康"
1373809,"cde569e9-1d31-41c5-949e-ad93159a377d",2019-05-01 03:29:32,1,3.9,"99916103","枪手无烟清香型蚊香10盘装","家用清洁","消杀用品","灭蚊、杀虫、防蛀用品","B","枪手"
1374164,"f8357c85-6117-11e8-aa6b-0a58ac13039c",2019-05-01 04:21:55,1,4.5,"12604209","统一阿萨姆岩盐芝士奶茶饮料","饮料","茶饮料","即饮奶茶","C","阿萨姆"
1374164,"f8357c85-6117-11e8-aa6b-0a58ac13039c",2019-05-01 04:21:55,1,0.2,"50000006","新购物袋fook(小)","购物袋","购物袋","购物袋","C","见福"
1374164,"f8357c85-6117-11e8-aa6b-0a58ac13039c",2019-05-01 04:21:55,1,4,"93895323","优思麦黄金条100g","休闲零食","糕点","面包","C","优思麦"
1374164,"f8357c85-6117-11e8-aa6b-0a58ac13039c",2019-05-01 04:21:55,1,3.5,"99933081","卡仕达巧克力奶油软蛋糕55g","休闲零食","糕点","蛋糕","C","卡士达"
1374436,"4f32e090-d8f8-4cfe-9e5f-43bc14abfc70",2019-05-01 05:10:31,1,21,"10000012","N七匹狼（软灰）","烟类","香烟","软盒香烟","B","七匹狼"
1374462,"aaf82b62-455c-11e8-b079-0a58ac130519",2019-05-01 05:17:25,1,3,"11000013","康师傅冰红茶500ml","饮料","茶饮料","即饮红茶","B","康师傅"
1374462,"aaf82b62-455c-11e8-b079-0a58ac130519",2019-05-01 05:17:25,2,5,"17122922","口留乡手撕肉干(五香味)15g","休闲零食","肉食小食","肉食小食","B","口留乡"
1374462,"aaf82b62-455c-11e8-b079-0a58ac130519",2019-05-01 05:17:25,1,6,"12604101","元气森林燃茶膳食纤维无糖醇香乌龙茶饮料500ml","饮料","茶饮料","其他茶饮料","B","元气森林"
1374462,"aaf82b62-455c-11e8-b079-0a58ac130519",2019-05-01 05:17:25,1,5.5,"30603398","康师傅金汤肥牛112g","方便速食","即食类主食","即食面类","B","康师傅"
1374462,"aaf82b62-455c-11e8-b079-0a58ac130519",2019-05-01 05:17:25,1,4.5,"13000006","统一来一桶精炖排骨面105g","方便速食","即食类主食","即食面类","B","来一桶"
1374462,"aaf82b62-455c-11e8-b079-0a58ac130519",2019-05-01 05:17:25,1,5.5,"99931903","李子园乳饮料草莓味450ml","奶制品","牛奶","常温牛奶","B","李子园"
1374462,"aaf82b62-455c-11e8-b079-0a58ac130519",2019-05-01 05:17:25,1,8,"18000090","舌尖爱难吃的瓜子蕉糖味150g","休闲零食","坚果","坚果","B","舌尖爱"
1374462,"aaf82b62-455c-11e8-b079-0a58ac130519",2019-05-01 05:17:25,1,2,"13000369","紫山金菇脆笋60g","辅助佐餐","佐餐小食","酱菜","B","紫山"
1374462,"aaf82b62-455c-11e8-b079-0a58ac130519",2019-05-01 05:17:25,1,12.9,"18000122","乡下香鸡腿香酥味85g","休闲零食","肉食小食","肉食小食","B","乡下香"
1374462,"aaf82b62-455c-11e8-b079-0a58ac130519",2019-05-01 05:17:25,2,3,"90087714","W凯丽维斯方糕红豆+糯米抹茶75g","休闲零食","冰淇淋","冰淇淋","B","凯丽维斯"
1374462,"aaf82b62-455c-11e8-b079-0a58ac130519",2019-05-01 05:17:25,1,4,"60603277","A蒙牛随变榛子巧克力口味雪糕60g","休闲零食","冰淇淋","冰淇淋","B","随变"
1374616,"9c8aa973-5246-11e8-ba21-0a58ac13035b",2019-05-01 05:48:16,2,4,"11000372","伊利爽心红枣味杯装100G(D)","奶制品","酸奶/酸味奶","酸奶/酸味奶","A","爽心"
1374616,"9c8aa973-5246-11e8-ba21-0a58ac13035b",2019-05-01 05:48:16,1,13,"10603662","N七匹狼（蓝钻）","烟类","香烟","硬盒香烟","A","七匹狼"
1374749,"ad4f5eae-b241-410b-af07-0c580a7efc18",2019-05-01 06:10:41,1,6,"11000001","N红牛饮料250ml","饮料","功能性饮料","运动能量饮料","B","红牛"
1374901,"2d98dd70-660d-11e8-a8b8-0a58ac130590",2019-05-01 06:28:53,1,8.5,"10000008","N七匹狼（蓝)","烟类","香烟","硬盒香烟","B","七匹狼"
1374944,"a0edc074-4231-11e8-b23e-0a58ac130517",2019-05-01 06:34:53,4,16,"10603558","草蜢荧光进口滑轮打火机","烟类","烟具","烟具","B","其他品牌"
1374944,"a0edc074-4231-11e8-b23e-0a58ac130517",2019-05-01 06:34:53,3,12,"30000262","N心相印XCA001消毒柔湿巾10片","家用清洁","纸制品","湿巾纸","B","心相印"
1374944,"a0edc074-4231-11e8-b23e-0a58ac130517",2019-05-01 06:34:53,3,16.5,"61000330","滴露Hello Kitty版卫生湿巾10片装","家用清洁","纸制品","湿巾纸","B","滴露"
1374944,"a0edc074-4231-11e8-b23e-0a58ac130517",2019-05-01 06:34:53,1,2,"11000084","景田百岁山矿泉水348ml","饮料","包装水","包装水","B","景田"
1374999,"44d8a3c2-ecf2-49e9-b41d-dcc1cd5fac80",2019-05-01 06:41:45,1,7,"12604183","康师傅贝纳颂经典意式风味280ml","饮料","即饮咖啡","即饮咖啡","A","贝纳颂"
1375200,"12ae206a-695d-11e8-8d33-0a58ac1303bc",2019-05-01 07:01:13,1,3,"11000029","百事可乐(塑料瓶)500ml","饮料","碳酸饮料","可乐类汽水","C","百事可乐"
1375271,"d63c080a-d4ef-4fff-9832-1ada2979b980",2019-05-01 07:07:39,1,6,"12000672","康师傅3+2苏打饼干(柠檬味)125g","休闲零食","饼干","饼干","B","康师傅3+2夹心"
1375271,"d63c080a-d4ef-4fff-9832-1ada2979b980",2019-05-01 07:07:39,1,7.5,"12000440","奥利奥水晶葡萄味+水蜜桃味97g","休闲零食","饼干","饼干","B","奥利奥"
1375271,"d63c080a-d4ef-4fff-9832-1ada2979b980",2019-05-01 07:07:39,2,8,"30000168","N心相印XCB001洁肤独立湿巾10片","家用清洁","纸制品","湿巾纸","B","心相印"
1375395,"571addd0-e48e-47fe-9a13-b3cd6bc59211",2019-05-01 07:17:41,2,4,"11000133","怡宝纯净水555ml","饮料","包装水","包装水","C","怡宝"
1375853,"be5dd01f-1e29-4ce3-8289-b2c02f0c577a",2019-05-01 07:51:21,1,5.5,"11000028","N可口可乐雪碧1.25L","饮料","碳酸饮料","柠檬口味汽水","A","雪碧"
1375899,"0446e84c-6823-4297-bad0-0b25749d8ceb",2019-05-01 07:53:53,2,16,"10000004","N七匹狼（白）","烟类","香烟","硬盒香烟","C","七匹狼"
1376032,"01937d62-c3e1-4237-a8bf-23cba90e5a96",2019-05-01 07:59:51,2,8,"11000110","长富纯鲜奶221ml","奶制品","牛奶","低温牛奶","A","长富"
1376107,"d3287c0d-115b-11e8-a68d-0a58ac13001a",2019-05-01 08:03:46,1,12.5,"12000691","100份百鲜味什果汁软糖150g","休闲零食","糖果","其他糖果","B","一百份"
1376113,"fc8d8c77-a820-4c3a-8165-4e27541c8e3e",2019-05-01 08:04:22,1,6.5,"11601838","维他柠檬茶(瓶装)500ml","饮料","茶饮料","即饮红茶","A","维他"
1376113,"fc8d8c77-a820-4c3a-8165-4e27541c8e3e",2019-05-01 08:04:22,1,32,"99929049","N云烟(神秘花园)","烟类","香烟","硬盒香烟","A","云烟"
1376253,"88b345a7-4070-45e3-a583-e57610da7993",2019-05-01 08:09:42,1,6.5,"11601838","维他柠檬茶(瓶装)500ml","饮料","茶饮料","即饮红茶","B","维他"
1376320,"d7176358-f684-4f0f-ab67-be3333e02608",2019-05-01 08:13:37,1,2,"11000391","农夫山泉水550ml","饮料","包装水","包装水","A","农夫山泉"
1376320,"d7176358-f684-4f0f-ab67-be3333e02608",2019-05-01 08:13:37,1,3.5,"11000075","N可口可乐雪碧500ml","饮料","碳酸饮料","柠檬口味汽水","A","雪碧"
1376320,"d7176358-f684-4f0f-ab67-be3333e02608",2019-05-01 08:13:37,1,3.5,"93895557","优思麦德国海盐包100g","休闲零食","糕点","面包","A","优思麦"
1376343,"d7176358-f684-4f0f-ab67-be3333e02608",2019-05-01 08:14:29,1,5.5,"16400072","达利园拔丝蛋糕90g","休闲零食","糕点","蛋糕","A","达利园"
1376343,"d7176358-f684-4f0f-ab67-be3333e02608",2019-05-01 08:14:29,1,9.9,"60603257","味全旅行优格玫瑰220ml","奶制品","酸奶/酸味奶","酸奶/酸味奶","A","味全"
1376374,"a1c0d64f-3257-11e8-b22b-0a58ac130054",2019-05-01 08:16:12,1,2.3,"18000052","金翼客家盐焗蛋30g","休闲零食","肉食小食","肉食小食","B","其他品牌"
1376374,"a1c0d64f-3257-11e8-b22b-0a58ac130054",2019-05-01 08:16:12,1,1.5,"13000094","双汇玉米热狗肠40g","辅助佐餐","熟食肉制品","熟食肉制品","B","双汇"
1376374,"a1c0d64f-3257-11e8-b22b-0a58ac130054",2019-05-01 08:16:12,1,4.5,"30603390","统一藤椒牛肉面105g","方便速食","即食类主食","即食面类","B","统一"
1376430,"eb76cc3d-19df-11e8-a74f-0a58ac13001a",2019-05-01 08:18:43,1,2,"11000133","怡宝纯净水555ml","饮料","包装水","包装水","B","怡宝"
1376430,"eb76cc3d-19df-11e8-a74f-0a58ac13001a",2019-05-01 08:18:43,1,5,"11000086","百事可乐佳得乐冰莓味600ML","饮料","功能性饮料","运动能量饮料","B","佳得乐"
1376510,"18d38f6a-4385-11e8-b29d-0a58ac130517",2019-05-01 08:22:18,1,4.5,"12604187","脉动仙人掌青橘口味600ml","饮料","功能性饮料","运动能量饮料","B","脉动"
1376604,"322c37df-72e1-4726-8f07-5b6c291fb2c1",2019-05-01 08:27:30,1,6,"40603730","优思麦牛角餐包135g","休闲零食","糕点","面包","A","优思麦"
1376605,"fbe42f8c-0cb1-40b4-a41c-1354e2c7ea8c",2019-05-01 08:27:30,1,7,"60603315","蒙牛优益C百香果味340g","奶制品","酸奶/酸味奶","酸奶/酸味奶","B","优益C"
1376605,"fbe42f8c-0cb1-40b4-a41c-1354e2c7ea8c",2019-05-01 08:27:30,1,4,"11000110","长富纯鲜奶221ml","奶制品","牛奶","低温牛奶","B","长富"
1376703,"ae60b458-3d2d-4399-90c5-6169e9648d3f",2019-05-01 08:32:17,1,4,"11000747","T青岛崂山啤酒500ml","酒类","啤酒","啤酒","A","青岛啤酒"
1376833,"da3bdb18-0323-11e8-b63e-0a58ac13023c",2019-05-01 08:37:53,1,3.5,"12604173","N可口可乐香草味汽水500ml","饮料","碳酸饮料","可乐类汽水","A","可口可乐"
1376833,"da3bdb18-0323-11e8-b63e-0a58ac13023c",2019-05-01 08:37:53,1,6,"12604180","雀巢丝滑榛果咖啡268ml","饮料","即饮咖啡","即饮咖啡","A","雀巢咖啡"
1376892,"f7dfbfbd-5926-11e8-a843-0a58ac130384",2019-05-01 08:40:32,1,10,"10000049","N红塔山（硬经典100）","烟类","香烟","硬盒香烟","B","红塔山"
1377018,"1a0f2150-452f-11e8-b052-0a58ac130519",2019-05-01 08:42:40,1,13.5,"11000168","N椰树椰子汁1L","饮料","果蔬汁","常温果汁","B","椰树"
1377089,"c4346b11-9a57-4662-8b07-b4fdf4efc6ab",2019-05-01 08:49:03,1,3,"12001257","N可口可乐雪碧摩登罐330ml","饮料","碳酸饮料","柠檬口味汽水","B","雪碧"
1377142,"dd554ec9-9b2d-424e-b34d-35b76452e593",2019-05-01 08:51:56,1,16,"99900443","N泰山（心悦）","烟类","香烟","硬盒香烟","A","泰山"
1377142,"dd554ec9-9b2d-424e-b34d-35b76452e593",2019-05-01 08:51:56,1,3,"11000264","伊利畅轻黄桃酸奶100g(D)","奶制品","酸奶/酸味奶","酸奶/酸味奶","A","畅轻"
1377142,"dd554ec9-9b2d-424e-b34d-35b76452e593",2019-05-01 08:51:56,1,4.5,"40603723","优思麦沙琪玛85g","休闲零食","糕点","其他糕点","A","优思麦"
1377142,"dd554ec9-9b2d-424e-b34d-35b76452e593",2019-05-01 08:51:56,1,1.5,"11000062","N康师傅饮用矿物水550ml","饮料","包装水","包装水","A","康师傅"
1377379,"ca12cc98-4cdc-11e8-b75a-0a58ac130522",2019-05-01 09:04:38,1,2,"11000084","景田百岁山矿泉水348ml","饮料","包装水","包装水","B","景田"
1377379,"ca12cc98-4cdc-11e8-b75a-0a58ac130522",2019-05-01 09:04:38,1,3.5,"11603832","农夫山泉天然矿泉山535ml","饮料","包装水","包装水","B","农夫山泉"
1377379,"ca12cc98-4cdc-11e8-b75a-0a58ac130522",2019-05-01 09:04:38,1,2,"11000391","农夫山泉水550ml","饮料","包装水","包装水","B","农夫山泉"
1377379,"ca12cc98-4cdc-11e8-b75a-0a58ac130522",2019-05-01 09:04:38,1,0.2,"50000006","新购物袋fook(小)","购物袋","购物袋","购物袋","B","见福"
1377911,"a1fe1425-7dab-11e8-ad62-0a58ac130661",2019-05-01 09:31:05,1,6.5,"11601838","维他柠檬茶(瓶装)500ml","饮料","茶饮料","即饮红茶","B","维他"
1377964,"423b7748-7ee0-4637-becc-d210e8374627",2019-05-01 09:34:10,1,1.5,"93895468","AN见福茶叶蛋","方便速食","鲜食","茶叶蛋","A","见福"
1377964,"423b7748-7ee0-4637-becc-d210e8374627",2019-05-01 09:34:10,1,2,"11000194","惠尔康谷粒谷力黑芝麻浆250ml","奶制品","含乳饮料","含乳饮料","A","惠尔康"
1377964,"423b7748-7ee0-4637-becc-d210e8374627",2019-05-01 09:34:10,1,3.5,"12604032","卡士达奶油软蛋糕55g","休闲零食","糕点","蛋糕","A","卡士达"
1378108,"ed2cc17a-3a04-4d95-a717-48c1d101937b",2019-05-01 09:41:00,2,2,"12603918","劲仔豆干酱香味25g","休闲零食","肉食小食","肉食小食","B","劲仔"
1378130,"1083fb8e-8fcf-11e8-bde6-0a58ac1305b1",2019-05-01 09:41:50,2,2,"12603916","劲仔小鱼麻辣味12g","休闲零食","肉食小食","肉食小食","B","劲仔"
1378130,"1083fb8e-8fcf-11e8-bde6-0a58ac1305b1",2019-05-01 09:41:50,2,2,"12603915","劲仔小鱼酱汁味12g","休闲零食","肉食小食","肉食小食","B","劲仔"
1378622,"252188e6-490c-4700-ade9-0a5f6fa7f9c1",2019-05-01 10:03:58,1,5,"91000191","君乐宝碗装老酸奶139g（D）","奶制品","酸奶/酸味奶","酸奶/酸味奶","B","君乐宝"
1378622,"252188e6-490c-4700-ade9-0a5f6fa7f9c1",2019-05-01 10:03:58,1,2,"11000133","怡宝纯净水555ml","饮料","包装水","包装水","B","怡宝"
1378718,"70d9a91a-7b34-4a99-862b-5ae035a33627",2019-05-01 10:08:53,1,8.5,"10000008","N七匹狼（蓝)","烟类","香烟","硬盒香烟","B","七匹狼"
1378762,"fdf6ccec-f361-4a19-bd6c-c2bac1df3f12",2019-05-01 10:11:06,1,4.5,"11000065","达能脉动清新柠檬600ml","饮料","功能性饮料","运动能量饮料","C","脉动"
1378809,"1a066518-48e8-11e8-b517-0a58ac130522",2019-05-01 10:12:57,3,6,"11000391","农夫山泉水550ml","饮料","包装水","包装水","C","农夫山泉"
1378908,"f7361ff0-6d63-4f62-a9a8-b2679f430d4e",2019-05-01 10:16:38,1,3.5,"11000030","N可口可乐（塑料瓶）500ml","饮料","碳酸饮料","可乐类汽水","A","可口可乐"
1378908,"f7361ff0-6d63-4f62-a9a8-b2679f430d4e",2019-05-01 10:16:38,1,5,"12604228","农夫山泉尖叫运动饮料（青芒味)500ml","饮料","功能性饮料","运动能量饮料","A","尖叫"
1378954,"ba0caabe-4f99-11e8-83a1-0a58ac130356",2019-05-01 10:19:04,2,4,"33600635","R6P绿三圈铁壳电池(4B)","休闲百货","电池","电池","B","绿三圈"
1379048,"58ce8007-2ab8-11e8-ab3b-0a58ac13027d",2019-05-01 10:23:18,1,1.5,"12000674","绿箭口香糖15g","休闲零食","糖果","口香糖","B","绿箭口香糖"
1379068,"35c0e58e-8b56-11e8-b6e5-0a58ac1305b1",2019-05-01 10:24:29,1,11,"10000037","N七匹狼（豪迈）","烟类","香烟","硬盒香烟","B","七匹狼"
1379081,"35c0e58e-8b56-11e8-b6e5-0a58ac1305b1",2019-05-01 10:24:58,1,3,"40000005","NQQ丸4粒","方便速食","鲜食","自制关东煮","B","其他品牌"
1379403,"16cba64d-fd9c-48ae-bea3-e8205f9352e5",2019-05-01 10:40:57,1,2,"11000631","N可口可乐纯悦水550ml","饮料","包装水","包装水","C","纯悦"
1379504,"05182b32-8e74-11e8-bc8c-0a58ac1305b1",2019-05-01 10:46:50,1,4.5,"99928181","佳宝九制陈皮瓶装21g","休闲零食","凉果","凉果","A","佳宝"
1379556,"acd42f74-3992-11e8-85a2-0a58ac130136",2019-05-01 10:48:53,1,10.8,"30600869","苏菲弹力贴身极薄0.1日用洁翼8P","个人清洁","卫生用品","卫生巾","A","苏菲"
1379556,"acd42f74-3992-11e8-85a2-0a58ac130136",2019-05-01 10:48:53,1,5.5,"99004878","N心相印DT1120婴儿专用软抽3层120抽","个人清洁","婴儿用品","婴儿护理品","A","心相印"
1379810,"edadde29-ce21-4d39-bb5e-138f03f93924",2019-05-01 11:01:03,1,23,"10000061","N七匹狼（通运）","烟类","香烟","硬盒香烟","A","七匹狼"
1379855,"1493aea4-8c8a-11e8-b8e6-0a58ac1305b1",2019-05-01 11:03:14,1,9,"12000694","张君雅小妹妹碳烤鸡汁点心面100g","休闲零食","膨化食品","膨化食品","B","张君雅"
1380064,"aadaa285-363b-11e8-940a-0a58ac1300a2",2019-05-01 11:12:14,1,8,"60603260","A雀巢呈真冷冻酸奶冰激凌沁香白桃味65g","休闲零食","冰淇淋","冰淇淋","B","呈真"
1380093,"b0298d78-a703-476f-8156-29bec579413e",2019-05-01 11:13:41,1,11,"30020003","陈克明鸡蛋波纹风味面650g","粮油制品","挂面粉丝","挂面粉丝","A","陈克明"
1380359,"fba73114-441e-11e8-afd6-0a58ac130519",2019-05-01 11:25:49,1,15,"10000010","N七匹狼(红)","烟类","香烟","硬盒香烟","C","七匹狼"
1380403,"c93f03c6-2689-4eb3-bce2-bdfc8ee7ddea",2019-05-01 11:27:41,2,39.799999,"16000164","花王瞬吸超薄1mm夜用卫生巾30cm *15","个人清洁","卫生用品","卫生巾","A","乐而雅"
1380602,"92b1f3ec-4cef-11e8-9cc0-0a58ac1300da",2019-05-01 11:37:10,1,5.5,"11000061","N可口可乐1.25L","饮料","碳酸饮料","可乐类汽水","B","可口可乐"
1380617,"aeac40de-bad3-41c3-a49f-930224186000",2019-05-01 11:37:59,2,17,"10000008","N七匹狼（蓝)","烟类","香烟","硬盒香烟","B","七匹狼"
1380737,"e6639c78-71fe-4783-ad96-81aeb00df9b8",2019-05-01 11:43:01,1,17.5,"31000054","*安得华尔7480全棉三角裤XXL","家纺鞋服","衣物服装","内衣","C","其他品牌"
1380861,"8fc2fe2e-1235-11e8-a69e-0a58ac13001a",2019-05-01 11:47:52,2,10,"11000226","农夫维他命柑橘风味饮料500ml","饮料","功能性饮料","健康保健饮料","B","维他命水"
1380861,"8fc2fe2e-1235-11e8-a69e-0a58ac13001a",2019-05-01 11:47:52,1,12.9,"30603420","食族人麻辣爆肚粉150g","方便速食","即食类主食","即食面类","B","食族人"
1380861,"8fc2fe2e-1235-11e8-a69e-0a58ac13001a",2019-05-01 11:47:52,1,9.9,"30603419","食族人酸辣粉130g","方便速食","即食类主食","即食面类","B","食族人"
1380861,"8fc2fe2e-1235-11e8-a69e-0a58ac13001a",2019-05-01 11:47:52,2,42,"10000012","N七匹狼（软灰）","烟类","香烟","软盒香烟","B","七匹狼"
1380861,"8fc2fe2e-1235-11e8-a69e-0a58ac13001a",2019-05-01 11:47:52,1,0.3,"50000005","新购物袋fook(大)","购物袋","购物袋","购物袋","B","见福"
1380876,"8fc2fe2e-1235-11e8-a69e-0a58ac13001a",2019-05-01 11:48:35,1,2,"11000391","农夫山泉水550ml","饮料","包装水","包装水","B","农夫山泉"
1380876,"8fc2fe2e-1235-11e8-a69e-0a58ac13001a",2019-05-01 11:48:35,1,1,"30000002","N心相印C1710三层手帕纸茶语","家用清洁","纸制品","手帕纸","B","心相印"
1380883,"f8fa268d-4dd0-4061-a0ee-fc8742b66468",2019-05-01 11:48:51,1,6.9,"99922713","陈克明精细鸡蛋面500g","粮油制品","挂面粉丝","挂面粉丝","A","陈克明"
1380883,"f8fa268d-4dd0-4061-a0ee-fc8742b66468",2019-05-01 11:48:51,1,7.9,"30603409","陈克明儿童高钙面280g","粮油制品","挂面粉丝","挂面粉丝","A","陈克明"
1380985,"a4fd1a77-671d-49d4-8d71-f9db7a9ac74e",2019-05-01 11:53:00,1,2,"11000133","怡宝纯净水555ml","饮料","包装水","包装水","B","怡宝"
1380985,"a4fd1a77-671d-49d4-8d71-f9db7a9ac74e",2019-05-01 11:53:00,1,13,"10603662","N七匹狼（蓝钻）","烟类","香烟","硬盒香烟","B","七匹狼"
1381362,"fe020b13-42d5-11e8-b272-0a58ac130517",2019-05-01 12:09:09,2,35.8,"12601468","回响美国西梅280g","休闲零食","凉果","凉果","B","回响"
