"订单编号","PID","交易时间","单项数量","单项金额","商品编号","商品名称","一级分类","二级分类","三级分类","门店名称","品牌"
2243410,"fd8b0948-52b7-11e8-ba34-0a58ac13035b",2019-05-24 21:20:20,1,2.5,"11000175","康师傅饮用矿物质水1.5L","饮料","包装水","包装水","B","康师傅"
2243677,"f3ef6ad6-81a8-11e8-af3f-0a58ac1303f0",2019-05-24 21:26:20,1,16,"10000072","N七匹狼（纯境）","烟类","香烟","硬盒香烟","B","七匹狼"
2243759,"edb6dd10-ec27-4e46-8eba-b71f6800d817",2019-05-24 21:28:21,2,9,"12604231","T雪碧纤维摩登罐330ML","饮料","碳酸饮料","柠檬口味汽水","B","雪碧纤维+"
2243886,"d0767e5f-4738-4a63-8c15-acced7432a68",2019-05-24 21:30:54,1,35,"10602054","N牡丹(软蓝)","烟类","香烟","软盒香烟","B","牡丹"
2243892,"d0767e5f-4738-4a63-8c15-acced7432a68",2019-05-24 21:31:05,1,14.5,"11000365","爱之味麦仔茶1.5L","饮料","茶饮料","其他茶饮料","B","爱之味"
2244123,"3d07f60b-0617-4b12-baa3-340dacc7ee49",2019-05-24 21:36:01,1,6.5,"18061005","好丽友混搭脆谷物原香味70g","休闲零食","膨化食品","膨化食品","C","混搭脆"
2244341,"3d6dd5ec-75f6-11e8-90c5-0a58ac130661",2019-05-24 21:41:16,2,15,"11601960","锐澳朗姆鸡尾酒(柠檬味)330ml","酒类","洋酒","洋酒","B","锐澳"
2244772,"6ed27933-75d2-11e8-908b-0a58ac130661",2019-05-24 21:49:57,1,5,"11000241","统一雅哈冰咖啡450ml","饮料","即饮咖啡","即饮咖啡","B","雅哈"
2244978,"ca6098f8-385c-4fc8-9369-d099a3430532",2019-05-24 21:54:38,1,3.5,"11000152","农夫山泉1.5L","饮料","包装水","包装水","B","农夫山泉"
2244978,"ca6098f8-385c-4fc8-9369-d099a3430532",2019-05-24 21:54:38,1,9.9,"30000036","N飘柔兰花长效清爽去屑洗发露190ml","个人清洁","沐浴洗发","洗发用品","B","飘柔"
