"PID","性别","年龄","年代","距离上次光顾时间","上午活跃","午间活跃","下午活跃","夜间活跃","平均每单购买数量","偏好品类top1","访问门店数","进店次数","进店时间.一周","平均每单购买金额","偏好品类top2","偏好品类top3","偏好品牌top1","偏好品牌top2","偏好品牌top3"
"6df2eeae-36e4-11e8-a5d3-0a58ac130128","male",37,"80后",10.0452430555556,0,0,0,1,1,"硬盒香烟",1,1,"工作日活跃",13,,,"七匹狼",,
"f87baf82-0188-403b-bc67-1850d9548055","male",30,"80后",1.06664351851852,1,0,0,1,1.86666666666667,"其他厨房用品",1,15,"工作日活跃",11.9333333333333,"硬盒香烟","肉食小食","七匹狼","妙洁","优益C"
"ffe19799-6558-4848-997c-3ddfe8f9dba3","male",18,"00后",1.32961805555556,0,0,1,1,1,"可乐类汽水",1,3,"双休日活跃",7,"软盒香烟","酸奶/酸味奶","零度可乐","蒙牛酸酸乳","七匹狼"
"ee48e0df-707b-11e8-98b5-0a58ac130598","male",24,"90后",4.96171296296296,0,0,0,1,4,"软盒香烟",1,1,"工作日活跃",44,"烟具",,"七匹狼","顺成",
"7241668d-0717-4c39-b899-69d61bf5d893","male",23,"90后",22.9781712962963,0,0,0,1,1,"冰淇淋",1,3,"工作日活跃",3.33333333333333,"饼干","醋饮料","凯丽维斯","乐醋坊","太平梳打"
"0f0c1d75-89c3-11e8-b496-0a58ac1305b1","male",38,"80后",22.1435648148148,0,0,0,1,1,"即食面类",1,1,"工作日活跃",6.5,,,"统一",,
"f113db61-62af-480d-89ab-7d3ae6e62744","male",27,"90后",0.0390509259259259,0,0,0,1,2,"包装水",1,3,"工作日活跃",7.5,"即食面类","常温果汁","果粒奶优","康师傅","农夫山泉"
"563916c0-66b2-4b90-959a-0a1d8f633b71","male",26,"90后",10.0141203703704,0,0,0,1,1,"硬盒香烟",1,1,"工作日活跃",11,,,"黄金叶",,
"7e97f022-b454-4024-82ca-434cfcdb04f6","male",41,"70后",8.57334490740741,1,0,0,1,1.66666666666667,"包点类",1,3,"双休日活跃",4.33333333333333,"面包","手帕纸","其他品牌","心相印","伊利优酸乳"
"91674e67-a730-4c5e-9ae2-e87bca3cc419","male",26,"90后",28.9590856481481,0,0,0,1,2,"包装水",1,1,"工作日活跃",8,"酸奶/酸味奶",,"农夫山泉","其他品牌",
